ROUTE,SCREEN_NAME,TYPE,REQUIRED_ROLE,OPERATIONS,SAVE_RESULT,RELOAD_RESULT,STATUS,SOURCE,PLATFORM,EVIDENCE
auth/login,ログイン,auth,未ログイン,Native fresh logout/email-password single login→primary store→today; no routine OTP; auth agent evidence.,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-auth-results.json
stores,店舗を選択,stores,認証済み店舗メンバー,Native primary store chosen; terminate/reopen session restored at stores; choose primary→today. Repeated explicit reload/primary selection in business journey.,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-auth-results.json
tab/today,今日,tab,認証済み店舗メンバー,Native today expand/collapse operated by auth agent; session terminate/reopen+primary return assertions today/logout.,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-auth-results.json
tab/vehicles,車両（tab）,tab,認証済み店舗メンバー,"Opened,searched NativeCar2609260421,opened matching detail,rechecked",PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-business-results.json
tab/deals,商談（tab）,tab,認証済み店舗メンバー,"UI selected synthetic customer+vehicle,created; edited title NativeDealEDIT260926; saved; searched list and reopened matching detail; related appointment action opened",PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-business-results.json
tab/maintenance,整備・車検（tab）,tab,認証済み店舗メンバー,Native inline customer DOB1990-01-02 + vehicle maker/dates saved together; work3 rows4000; row1 copy/nameEditedCopy/deleteThirdWork save4500; left to list/search347476c6/reopened detail4500; work comma retained.,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-business-results.json
tab/customers,顧客（tab）,tab,認証済み店舗メンバー,"Opened, searched exact edited name, opened matching result; repeated navigation",PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-business-results.json
detail/vehicles,車両（detail）,detail,認証済み店舗メンバー,"Saved detail,used purchase and basic tabs,edited price; reopened via searched list and verified VIN/maker/both dates/total120000",PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-business-results.json
create/vehicles,車両（create）,create,owner/admin/staff,"Created VIN NATIVE2609260421 / NativeCar2609260421 / master 回帰試験メーカー; inspection2027-01-02,liability2027-01-03; synthetic supplier and price110000; saved and reopened",PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-business-results.json
edit/vehicles,車両（edit）,edit,owner/admin/staff,"Opened cost edit,changed price110000 to120000,saved; list search and reopened total120000",PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-business-results.json
detail/customers,顧客（detail）,detail,認証済み店舗メンバー,Opened saved customer; entered edit; returned through searched list; reopened detail and edit,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-business-results.json
create/customers,顧客（create）,create,保存:viewer以外（API/RLSの店舗・権限検査あり）,"Typed name NativeCustomer2609260417, DOB1990-01-02, phone09000000000; saved; detail displayed; reopened after edit",PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-business-results.json
edit/customers,顧客（edit）,edit,保存:viewer以外（API/RLSの店舗・権限検査あり）,"Changed name suffix EDIT; saved; list and detail reopened; edit form retained name,DOB,phone",PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-business-results.json
detail/deals,商談（detail）,detail,認証済み店舗メンバー,"UI selected synthetic customer+vehicle,created; edited title NativeDealEDIT260926; saved; searched list and reopened matching detail; related appointment action opened",PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-business-results.json
create/deals,商談（create）,create,保存:viewer以外（API/RLSの店舗・権限検査あり）,"UI selected synthetic customer+vehicle,created; edited title NativeDealEDIT260926; saved; searched list and reopened matching detail; related appointment action opened",PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-business-results.json
edit/deals,商談（edit）,edit,保存:viewer以外（API/RLSの店舗・権限検査あり）,"UI selected synthetic customer+vehicle,created; edited title NativeDealEDIT260926; saved; searched list and reopened matching detail; related appointment action opened",PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-business-results.json
detail/appointments,予約（detail）,detail,認証済み店舗メンバー,"After corrected17:00 save, opened edit then back; detail reread17:00; returned deal and opened trade-in",PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-business-results.json
