ROUTE,SCREEN_NAME,TYPE,REQUIRED_ROLE,OPERATIONS,SAVE_RESULT,RELOAD_RESULT,STATUS,SOURCE
/,1台の入庫から、次の連絡まで。仕事が途切れない。,public_information,公開（ログイン不要）,本文末尾まで閲覧→主要リンク操作→戻る→再読込・見出し一致,対象外（非更新操作）,PASS,PASS,apps/garage-link/src/app/page.tsx
/admin/plan-requests,プラン申込履歴,list,owner/admin（有効な同店舗membership）,主操作→関連画面→戻る→再開・再確認,PASS,PASS,PASS,apps/garage-link/src/app/admin/plan-requests/page.tsx
/analytics,分析,list,認証済みの有効な同店舗member（middleware/RLS）,主操作→関連画面→戻る→再開・再確認,PASS,PASS,PASS,apps/garage-link/src/app/analytics/page.tsx
/appointments,来店・試乗予約,list,同店舗memberで閲覧、保存はowner/admin/staff（G1-B/RPC）,予約登録→状態更新→別画面→再開→状態一致,PASS,PASS,PASS,apps/garage-link/src/app/appointments/page.tsx
/auth/callback,認証を確認しています...,auth,公開入口＋有効なメール確認/再設定tokenまたはsession,signup/resetの実確認後callback→所定画面→セッション付き復帰,PASS,PASS,PASS,apps/garage-link/src/app/auth/callback/page.tsx
/auth/confirm,メールアドレスを確認する / パスワード再設定を続ける,auth,公開入口＋有効なメール確認/再設定tokenまたはsession,local確認メールのリンク→確認ボタンPOST→callback→登録/回復先一致,PASS,PASS,PASS,apps/garage-link/src/app/auth/confirm/page.tsx
/auth/reset-password,新しいパスワードを設定,auth,有効な再設定session,local再設定メール→確認→新password保存→logout/login→dashboard,PASS,PASS,PASS,apps/garage-link/src/app/auth/reset-password/page.tsx
/customer-follow-up/delivery-candidates,L-LINK配信候補一覧,list,認証済みの有効な同店舗member（middleware/RLS）,主操作→関連画面→戻る→再開・再確認,PASS,PASS,PASS,apps/garage-link/src/app/customer-follow-up/delivery-candidates/page.tsx
/customer-follow-up/inspection-reminders,車検案内対象履歴,list,同店舗memberで閲覧、skipはowner/admin,主操作→関連画面→戻る→再開・再確認,PASS,PASS,PASS,apps/garage-link/src/app/customer-follow-up/inspection-reminders/page.tsx
/customers,顧客,list,同店舗memberで閲覧、保存はowner/admin/staff（G1-B/RPC）,主操作→関連画面→戻る→再開・再確認,PASS,PASS,PASS,apps/garage-link/src/app/customers/page.tsx
/customers/[id],顧客詳細,detail_edit,同店舗memberで閲覧、保存はowner/admin/staff（G1-B/RPC）,主操作→関連画面→戻る→再開・再確認,PASS,PASS,PASS,apps/garage-link/src/app/customers/[id]/page.tsx
/customers/new,顧客登録,create,同店舗memberで閲覧、保存はowner/admin/staff（G1-B/RPC）,主操作→関連画面→戻る→再開・再確認,PASS,PASS,PASS,apps/garage-link/src/app/customers/new/page.tsx
