ROUTE,SCREEN_NAME,TYPE,REQUIRED_ROLE,OPERATIONS,SAVE_RESULT,RELOAD_RESULT,STATUS,SOURCE,PLATFORM,EVIDENCE
auth/login,ログイン,auth,未ログイン,"fresh session email/password one click → today, no OTP",PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API; iOS Simulator native one-attempt/session restore PASS,runtime/mobile-journey-results.json;runtime/mobile-maintenance-results.json
stores,店舗を選択,stores,認証済み店舗メンバー,select store→today→back to stores→select again→authenticated today,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-journey-results.json
tab/today,今日,tab,認証済み店舗メンバー,expand→collapse→leave→reopen→expand,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-journey-results.json;runtime/mobile-maintenance-results.json
tab/vehicles,車両（tab）,tab,認証済み店舗メンバー,maker select and two expiry dates→4dp purchase save→edit→list search→reopen verify,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-journey-results.json
tab/deals,商談（tab）,tab,認証済み店舗メンバー,customer→deal with vehicle→save→edit→save→list search→reopen,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-journey-results.json
tab/maintenance,整備・車検（tab）,tab,認証済み店舗メンバー,inline DOB customer and maker vehicle/two expiry dates→3 work rows 1.5/.5→save→edit/copy/delete→save→4500 readback | leave to list→search job→reopen job4500→quote5000→back→invoice5500 unpaid5000→payment reopen5000→back,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-maintenance-results.json
tab/customers,顧客（tab）,tab,認証済み店舗メンバー,create DOB→save→detail→edit→save→list search→reopen→stored values match,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-journey-results.json
detail/vehicles,車両（detail）,detail,認証済み店舗メンバー,maker select and two expiry dates→4dp purchase save→edit→list search→reopen verify,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-journey-results.json
create/vehicles,車両（create）,create,owner/admin/staff,maker select and two expiry dates→4dp purchase save→edit→list search→reopen verify,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-journey-results.json
edit/vehicles,車両（edit）,edit,owner/admin/staff,maker select and two expiry dates→4dp purchase save→edit→list search→reopen verify,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-journey-results.json
detail/customers,顧客（detail）,detail,認証済み店舗メンバー,create DOB→save→detail→edit→save→list search→reopen→stored values match,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-journey-results.json
create/customers,顧客（create）,create,保存:viewer以外（API/RLSの店舗・権限検査あり）,create DOB→save→detail→edit→save→list search→reopen→stored values match,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-journey-results.json
edit/customers,顧客（edit）,edit,保存:viewer以外（API/RLSの店舗・権限検査あり）,create DOB→save→detail→edit→save→list search→reopen→stored values match,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-journey-results.json
detail/deals,商談（detail）,detail,認証済み店舗メンバー,customer→deal with vehicle→save→edit→save→list search→reopen,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-journey-results.json
create/deals,商談（create）,create,保存:viewer以外（API/RLSの店舗・権限検査あり）,customer→deal with vehicle→save→edit→save→list search→reopen,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-journey-results.json
edit/deals,商談（edit）,edit,保存:viewer以外（API/RLSの店舗・権限検査あり）,customer→deal with vehicle→save→edit→save→list search→reopen,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-journey-results.json
detail/appointments,予約（detail）,detail,認証済み店舗メンバー,deal→appointment save→edit memo→save→deal→reopen persisted memo,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-journey-results.json
create/appointments,予約（create）,create,保存:viewer以外（API/RLSの店舗・権限検査あり）,deal→appointment save→edit memo→save→deal→reopen persisted memo,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-journey-results.json
edit/appointments,予約（edit）,edit,保存:viewer以外（API/RLSの店舗・権限検査あり）,deal→appointment save→edit memo→save→deal→reopen persisted memo,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-journey-results.json
detail/maintenance,整備・車検（detail）,detail,認証済み店舗メンバー,inline DOB customer and maker vehicle/two expiry dates→3 work rows 1.5/.5→save→edit/copy/delete→save→4500 readback | leave to list→search job→reopen job4500→quote5000→back→invoice5500 unpaid5000→payment reopen5000→back,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-maintenance-results.json
create/maintenance,整備・車検（create）,create,保存:viewer以外（API/RLSの店舗・権限検査あり）,inline DOB customer and maker vehicle/two expiry dates→3 work rows 1.5/.5→save→edit/copy/delete→save→4500 readback,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-maintenance-results.json
edit/maintenance,整備・車検（edit）,edit,保存:viewer以外（API/RLSの店舗・権限検査あり）,inline DOB customer and maker vehicle/two expiry dates→3 work rows 1.5/.5→save→edit/copy/delete→save→4500 readback,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-maintenance-results.json
detail/tradeIns,下取り（detail）,detail,認証済み店舗メンバー,deal→trade maker selected→save→edit memo→save→deal→reopen values,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-journey-results.json
create/tradeIns,下取り（create）,create,保存:viewer以外（API/RLSの店舗・権限検査あり）,deal→trade maker selected→save→edit memo→save→deal→reopen values,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-journey-results.json
edit/tradeIns,下取り（edit）,edit,保存:viewer以外（API/RLSの店舗・権限検査あり）,deal→trade maker selected→save→edit memo→save→deal→reopen values,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-journey-results.json
photo/vehicle,車両写真（photo）,photo,保存:viewer以外（API/RLSの店舗・権限検査あり）,open→choose local PNG→upload→return→list→reopen→decoded image visible,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-photo-results.json
photo/maintenance_job,整備写真（photo）,photo,保存:viewer以外（API/RLSの店舗・権限検査あり）,open→choose local PNG→upload→return→list→reopen→decoded image visible,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-photo-results.json
photo/trade_in_vehicle,下取り写真（photo）,photo,保存:viewer以外（API/RLSの店舗・権限検査あり）,open→choose local PNG→upload→return→list→reopen→decoded image visible,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-photo-results.json
quote,見積を作る・コピー,quote,保存:viewer以外（API/RLSの店舗・権限検査あり）,maintenance rows→quote save 4500→copy unsaved editable→quantity2→save 5000,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-maintenance-results.json
quoteDetail,見積詳細,quoteDetail,認証済み店舗メンバー,maintenance rows→quote save 4500→copy unsaved editable→quantity2→save 5000 | leave to list→search job→reopen job4500→quote5000→back→invoice5500 unpaid5000→payment reopen5000→back,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-maintenance-results.json
invoice,請求を作る・コピー,invoice,保存:viewer以外（API/RLSの店舗・権限検査あり）,quote→invoice5000→copy edit qty2.5→save5500 unpaid5500,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-maintenance-results.json
invoiceDetail,請求詳細,invoiceDetail,認証済み店舗メンバー,quote→invoice5000→copy edit qty2.5→save5500 unpaid5500 | leave to list→search job→reopen job4500→quote5000→back→invoice5500 unpaid5000→payment reopen5000→back,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-maintenance-results.json
payment,入金を登録,payment,保存:viewer以外（API/RLSの店舗・権限検査あり）,issue invoice→synthetic cash500→save→invoice unpaid5000 | leave to list→search job→reopen job4500→quote5000→back→invoice5500 unpaid5000→payment reopen5000→back,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-maintenance-results.json
sale,成約にする,sale,owner/admin/staff,safe synthetic deal sale→confirm→return list→reopen contracted state,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-journey-results.json
delivery,納車を完了,delivery,owner/admin/staff,new synthetic deal sale→delivery confirm→deal reopen→vehicle delivered→leave→reopen state match,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-journey-results.json
cancel,売約取消,cancel,owner/admin/staff,sale cancellation reason→confirm→list→reopen restored state,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,React Native Web + real local API,runtime/mobile-journey-results.json
