File,種別,前提schema,前提role,冪等性,Fresh適用,Upgrade適用,Rollback,懸念
"supabase/baseline/048_garage_link_integration_columns.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（baseline bundle）","いいえ","baseline全体を破棄","manifest checksum管理"
"supabase/migrations/20260625000000_line_link_inbound_nonces.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260625000100_line_link_s2s_service_role_grants.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260627000000_inspection_reminder_eligibility_fn.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260628000000_inspection_reminder_stale_event_invalidation.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260629000000_inspection_reminder_ack_fn.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260630000000_delivery_candidate_event_types.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260630000100_stock_movements_and_invoice_sale.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260630000200_customer_deal_followup_fields.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260701000000_followup_candidate_generation.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260701000100_inventory_profit_turnover.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260702000000_inspection_reminder_eligibility_scope_event_type.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260703000000_generate_events_store_authorization.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
